S.No,Date,Day,Month,College,Meal_Type,College_Capacity,Students_Expected,Students_Came,Food_Prepared_kg,Food_Consumed_kg,Cost_Per_kg,Total_Cost,Student_Rating
1,29-02-2024,Friday,March,SIDTM,Breakfast,450,315,290,143,103,110,15730,6.1
2,29-02-2024,Friday,March,SIDTM,Lunch,450,383,410,165,144,186,30690,7.3
3,29-02-2024,Friday,March,SIDTM,Dinner,450,338,358,165,143,158,26070,7.5
4,29-02-2024,Friday,March,SSBF,Breakfast,380,266,273,118,88,122,14396,6.4
5,29-02-2024,Friday,March,SSBF,Lunch,380,323,368,146,128,183,26718,7.1
6,29-02-2024,Friday,March,SSBF,Dinner,380,285,275,118,95,155,18290,6.3
7,29-02-2024,Friday,March,SIBM,Breakfast,520,364,409,177,136,128,22656,6
8,29-02-2024,Friday,March,SIBM,Lunch,520,442,419,182,163,175,31850,7.8
9,29-02-2024,Friday,March,SIBM,Dinner,520,390,454,163,138,159,25917,7.1
10,29-02-2024,Friday,March,SIMC,Breakfast,320,224,205,104,69,125,13000,4.8
11,29-02-2024,Friday,March,SIMC,Lunch,320,272,301,116,100,173,20068,7.1
12,29-02-2024,Friday,March,SIMC,Dinner,320,240,220,117,88,161,18837,6
13,29-02-2024,Friday,March,SSSS,Breakfast,280,196,181,86,72,129,11094,6.8
14,29-02-2024,Friday,March,SSSS,Lunch,280,238,269,113,97,171,19323,6.6
15,29-02-2024,Friday,March,SSSS,Dinner,280,210,227,101,75,165,16665,5.8
16,01-03-2024,Saturday,March,SIDTM,Breakfast,450,189,221,86,75,130,11180,6.7
17,01-03-2024,Saturday,March,SIDTM,Lunch,450,230,236,113,76,185,20905,4.9
18,01-03-2024,Saturday,March,SIDTM,Dinner,450,203,228,99,71,162,16038,5.6
19,01-03-2024,Saturday,March,SSBF,Breakfast,380,160,180,65,65,113,7345,8.4
20,01-03-2024,Saturday,March,SSBF,Lunch,380,194,217,94,83,176,16544,7.3
21,01-03-2024,Saturday,March,SSBF,Dinner,380,171,186,75,62,152,11400,6.7
22,01-03-2024,Saturday,March,SIBM,Breakfast,520,218,248,90,90,118,10620,8.1
23,01-03-2024,Saturday,March,SIBM,Lunch,520,265,256,112,99,183,20496,7.5
24,01-03-2024,Saturday,March,SIBM,Dinner,520,234,205,96,72,155,14880,6.3
25,01-03-2024,Saturday,March,SIMC,Breakfast,320,134,142,56,55,121,6776,8.3
26,01-03-2024,Saturday,March,SIMC,Lunch,320,163,155,76,58,186,14136,5.8
27,01-03-2024,Saturday,March,SIMC,Dinner,320,144,125,64,45,163,10432,5.6
28,01-03-2024,Saturday,March,SSSS,Breakfast,280,118,109,49,39,125,6125,6.9
29,01-03-2024,Saturday,March,SSSS,Lunch,280,143,118,66,44,189,12474,5.1
30,01-03-2024,Saturday,March,SSSS,Dinner,280,126,123,52,38,151,7852,5.7
31,03-03-2024,Monday,March,SIDTM,Breakfast,450,315,278,143,98,114,16302,5.6
32,03-03-2024,Monday,March,SIDTM,Lunch,450,383,429,187,157,176,32912,6.6
33,03-03-2024,Monday,March,SIDTM,Dinner,450,338,347,156,136,158,24648,7.1
34,03-03-2024,Monday,March,SSBF,Breakfast,380,266,227,124,73,111,13764,4.8
35,03-03-2024,Monday,March,SSBF,Lunch,380,323,364,155,127,184,28520,7.1
36,03-03-2024,Monday,March,SSBF,Dinner,380,285,261,126,95,166,20916,6.2
37,03-03-2024,Monday,March,SIBM,Breakfast,520,364,370,164,115,119,19516,5.1
38,03-03-2024,Monday,March,SIBM,Lunch,520,442,426,216,145,171,36936,5.1
39,03-03-2024,Monday,March,SIBM,Dinner,520,390,459,166,138,155,25730,7.2
40,03-03-2024,Monday,March,SIMC,Breakfast,320,224,265,93,84,114,10602,7.7
41,03-03-2024,Monday,March,SIMC,Lunch,320,272,250,124,99,170,21080,6.7
42,03-03-2024,Monday,March,SIMC,Dinner,320,240,281,102,98,156,15912,8.1
43,03-03-2024,Monday,March,SSSS,Breakfast,280,196,233,87,72,118,10266,6.6
44,03-03-2024,Monday,March,SSSS,Lunch,280,238,195,109,69,176,19184,4.6
45,03-03-2024,Monday,March,SSSS,Dinner,280,210,222,87,71,163,14181,7
46,04-03-2024,Tuesday,March,SIDTM,Breakfast,450,315,257,133,85,125,16625,5.2
47,04-03-2024,Tuesday,March,SIDTM,Lunch,450,383,345,160,138,177,28320,6.9
48,04-03-2024,Tuesday,March,SIDTM,Dinner,450,338,278,140,91,152,21280,5.2
49,04-03-2024,Tuesday,March,SSBF,Breakfast,380,266,307,120,114,119,14280,8.2
50,04-03-2024,Tuesday,March,SSBF,Lunch,380,323,357,146,109,189,27594,5.8
51,04-03-2024,Tuesday,March,SSBF,Dinner,380,285,251,116,81,153,17748,5.5
52,04-03-2024,Tuesday,March,SIBM,Breakfast,520,364,394,152,129,118,17936,6.7
53,04-03-2024,Tuesday,March,SIBM,Lunch,520,442,364,201,119,181,36381,4.9
54,04-03-2024,Tuesday,March,SIBM,Dinner,520,390,448,190,135,153,29070,5.8
55,04-03-2024,Tuesday,March,SIMC,Breakfast,320,224,247,108,89,122,13176,7
56,04-03-2024,Tuesday,March,SIMC,Lunch,320,272,273,132,84,185,24420,4.4
57,04-03-2024,Tuesday,March,SIMC,Dinner,320,240,204,105,68,155,16275,5.3
58,04-03-2024,Tuesday,March,SSSS,Breakfast,280,196,168,85,60,123,10455,5.2
59,04-03-2024,Tuesday,March,SSSS,Lunch,280,238,261,112,84,173,19376,5.6
60,04-03-2024,Tuesday,March,SSSS,Dinner,280,210,238,85,85,168,14280,8.2
61,05-03-2024,Wednesday,March,SIDTM,Breakfast,450,315,322,127,116,113,14351,8
62,05-03-2024,Wednesday,March,SIDTM,Lunch,450,383,394,168,119,184,30912,5.9
63,05-03-2024,Wednesday,March,SIDTM,Dinner,450,338,327,152,118,153,23256,6.2
64,05-03-2024,Wednesday,March,SSBF,Breakfast,380,266,311,108,93,126,13608,7
65,05-03-2024,Wednesday,March,SSBF,Lunch,380,323,290,156,93,182,28392,4.1
66,05-03-2024,Wednesday,March,SSBF,Dinner,380,285,239,126,76,169,21294,4.6
67,05-03-2024,Wednesday,March,SIBM,Breakfast,520,364,384,163,138,118,19234,7.2
68,05-03-2024,Wednesday,March,SIBM,Lunch,520,442,501,179,179,184,32936,8.2
69,05-03-2024,Wednesday,March,SIBM,Dinner,520,390,364,175,124,158,27650,5.2
70,05-03-2024,Wednesday,March,SIMC,Breakfast,320,224,196,96,76,128,12288,6.2
71,05-03-2024,Wednesday,March,SIMC,Lunch,320,272,246,125,89,175,21875,5.2
72,05-03-2024,Wednesday,March,SIMC,Dinner,320,240,255,101,87,160,16160,7.1
73,05-03-2024,Wednesday,March,SSSS,Breakfast,280,196,179,87,57,125,10875,5.4
74,05-03-2024,Wednesday,March,SSSS,Lunch,280,238,214,103,66,180,18540,4.7
75,05-03-2024,Wednesday,March,SSSS,Dinner,280,210,239,91,91,152,13832,8.6
76,06-03-2024,Thursday,March,SIDTM,Breakfast,450,315,295,135,113,128,17280,6.4
77,06-03-2024,Thursday,March,SIDTM,Lunch,450,383,313,171,96,174,29754,4.1
78,06-03-2024,Thursday,March,SIDTM,Dinner,450,338,355,159,133,168,26712,6.9
79,06-03-2024,Thursday,March,SSBF,Breakfast,380,266,302,124,120,119,14756,8.6
80,06-03-2024,Thursday,March,SSBF,Lunch,380,323,317,142,123,183,25986,6.7
81,06-03-2024,Thursday,March,SSBF,Dinner,380,285,249,116,85,158,18328,6.2
82,06-03-2024,Thursday,March,SIBM,Breakfast,520,364,352,153,108,116,17748,5.3
